id,data,label
2899,"                                                                        @BleacherReport @brfootball @TUDNUSA If Italy wins, it was a rigged tournament. Every game except against the weakest opponent, England got no home games in the knockouts.  If England wins it COUNTS. They’re the ones at a disadvantage",Neutral
2900,                                                                                                                                                                                                                                                                         really need a pickford or maguire blunder,Negative
2901,                                                                                                                                                                                                                                                                                    MY FUCKIN LEFT BACK!!! #ENGITA,Positive
2902,                                                                                                                                                               @NickBrightDJ Omfg I can’t believe that start!!!! We’ve gotta be more smart not giving away set pieces around the area thou!! Cone ON ENGLAND!!!!!!,Positive
2903,                                                                                                                                                                                                                                                                                      England winning this #ITAENG,Positive
2904,                                                                                                                                                                                                                                                                                       italy are playing rough wtf,Negative
2905,                                                                                                 tbh i kinda want england to lose just so i can see the utter disappointment on everyone's faces at school  everyone's all upset and complaining while i'm just immune because i couldn't care less about football,Neutral
2906,                                                                                                                                                                                                                                                                       im rooting for england 🤷🏾‍♀️ #Euro2020Final,Positive
2907,                                                                                                                                                                                                                                                                                free sterling from chiellinis arms,Neutral
2908,                                                                                                                                                                                                                                                     If England wins i'll become the Joker https://t.co/gtGcTs0OfS,Neutral
2909,                                                                                                                                                                                                                                                 rooting for england because tomorrow's monday and i need to sleep,Neutral
2910,"                                                                                                                                                           the thing ALL europe knows is that england doesn’t deserve the cup, it’s not even because of italy being there right now. it’s undeserved and that’s it",Negative
2911,"                                                                                                                                        England has been giving it their all since the first minute which scares me because I don’t want their energy to go down later on, and for Italy to take that opportunity.",Neutral
2912,                                                                                                                                                                                                                                                                   Everyone is team England…team Italy fo) wo hen?,Neutral
2915,                                                                                                                                                                                                       If Italy want any chance at all to win this game they need to stop England’s wingbacks from running on them,Neutral
2916,                                                                                                                                                                                                                                                                 Frello struggling against my man Mount. Love it 😤,Positive
2917,                                                                                                                                                                                                                                         torn.. Italy is my sweepsteak team #Euro2020Final https://t.co/vERGpwU4oo,Neutral
2918,"                                                                                                                                                                                                                                                              Can someone tell Italy, this is a final for God sake",Negative
2919,                                                                                                                                                                                                              why is everyone talking about england v italy when it isn’t on until tuesday https://t.co/IRYRu7bgKU,Neutral
2920,                                                                                                                                                                                                                                                            @german29470 Same here...i really hope Italy will win!,Positive
2921,                                                                                                                                                                                                                                             @Edit_Kev Immobile not getting much change atm. Long may it continue!,Positive
2922,                                                                                                                                                                                                                                                                           #ENGITA   Luke Shaw 1 - Jose Mourinho 0,Neutral
2923,"                                                                         @HinacchiT It will be a noticeable difference if Italy doesn't win – their fans won't do another multiple hours long motorcade constantly honking. It was really loud and annoying in my area recently, so I actually care a little bit 😆",Neutral
2924,"                                                                                                                                                                                                                                              England, TTUN, and Liverpool fans go on a daily basis of who’s worse",Negative
2925,                                                                                                                                                                                                                                                                          england will win 🏴󠁧󠁢󠁥󠁮󠁧󠁿💂🏻‍♂️#prediction,Positive
2926,                                                                                                                                                                                                                                         if italy wins im gonna eat pasta everyday for the rest of my life COME ON,Positive
2927,                                                                                                                                                                                                                                                     This Is The Main Reason I Said England Will Win ! Thank You 👍,Positive
2928,"                                                                                                                                           Kane is the best striker in the world without a doubt. Every time I watch him play, I am more convinced that no other striker has the abilities that he possesses. #ENG",Positive
2929,                                                                                                                                                                                                                                                                                 @technerd_brads Come on Italy  🇮🇹,Positive
2930,                                                                                                                                                                                                                                                                            Just enjoy the Shaw. #EURO2020 #ENGITA,Positive
2931,                                                                                                                                                                                                                                                                        It's coming home  FING-SQUIRT für England!,Positive
2932,                                                                                                                                                                                                                                                                                     The Shaw must go on ! #ENGITA,Neutral
2933,                                                                                                                                                                                                                                                                           if england lose i won’t be sexy anymore,Neutral
2934,                                                                                                                                                                                                                                                                        Oh man that doesn’t look good for Jorginho,Neutral
2935,                                                                                                                                                                                                                                                                                please italy besties can you score,Neutral
2936,                                                                                                                                                                                                                                                                   @nobody_stop_me Lol you would route for England,Neutral
2937,                                                                                                                                                                                   Fuck me Tom cruise gets about. First Wimbledon men's final and now euro's final! Is the church on a fund raising drive? #ITAENG,Negative
2938,                                                                                                                                                                                                                                                          @KopBlock205 Seems he’s also a keen England fan as well!,Positive
2939,                                                                                                                                                                                  Prince George was all of us when England scored that goal in 2 minutes! 🏴󠁧󠁢󠁥󠁮󠁧󠁿🦁  #ENGITA #Euro2020Final https://t.co/jKbmED9DfK,Neutral
2940,"                                                                                                                                                           That sterling is a greedy 🐖, if just releases it to team mate they could create really good chances.. He tries to run through them all. 🙄 #England #ENG",Negative
2941,                                                                                                                                                         Imagine 2 years ago or any amount of years in my lifetime if anyone would have claimed England would have been in the final of any tournament anywhere. 😂,Negative
2942,                                                                                                                                                                                               If England win there’s going to be almost as much carnage on the streets of London as if they lose.  #euro2020final,Neutral
2943,                                                                                                                                                                                                               Were Jorginho and David Palmer separated at birth. Before the better player dyed his hair of course,Neutral
2944,                                                                                                                                                                                                                                                                                           Immobile sucking ass rn,Negative
2945,                                                                                                                                                                                                               tom cruise getting inspo for the next mission impossible... england actually doing well at football,Neutral
2946,"                                                                                                                                                                                                                            If England win, I’ll be happy for Harry Kane and no one else. #Euro2020Final #EURO2020",Negative
2947,                                                                                                                                                                                                                                                                          COME ON ENGLAND!!! 🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿,Positive
2948,                                                                                                                                                                                                                                                             the england manager is hotter so i might support them,Positive
2949,                                                                                                                                                                                                                                                                              @JoySportsGH 1goal England 1 Italy 0,Neutral
2950,                                                                                                                                                                                                                                  But PLEASE can shitty English fans stop booing every time Italy gets possession?,Negative
2951,                                                                                                                                                                                                                                                                           football doesn’t revolve around louis ?,Neutral
2952,                                                                                                                                                                                                                           @whydontwemusic I missed the england goal for this and honestly  it was kinda worth it😭,Neutral
2953,                                                                                                                                                                                                                                                                      @Curious11100195 Italy with A bit of luck 😂😂,Positive
2956,                                                                                                                                                                                                                                                       why are people booing when Italy gets the ball jesus christ,Negative
2960,                                                                                                                                                                                                                                                                       COME ON ENGLAND!!!! https://t.co/AWjA45oRIp,Positive
2961,                                                                                                                                                                                                                                                               @Louis_Tomlinson y’all still want england to win? p,Neutral
2963,                                                                                                                                                                                                             Fucking @TomCruise is on our side we cannot lose.🏴󠁧󠁢󠁥󠁮󠁧󠁿❤ C'MON ENGLAND #ItsComingHome #euro2021final,Positive
2964,                                                                                                                                                                                                                                                                                              If Italy don’t win 😾,Negative
2965,                                                                                                                                                                                                    People crying because the match is being held in England where it was decided in 2012. https://t.co/TzPWElkstx,Neutral
2966,                                                                                                                                                                                                                                                                             update me pls is Italy scores or sumn,Neutral
2967,                                                                                                                                                                                                                                      Those Southgate coats are going to be sold out tomorrow aren’t they? #ENGITA,Neutral
2968,                                                                                                                                                                                                                                                           Still can’t believe England scored first 🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿,Positive
2969,                                                                                                                                                                                                                                                                                        @Abdiysl20 Italy got this🥱,Neutral
2970,                                                                                                                                                                                  That Emerson for Italy looks like Massimo from the Wedding Planner. Only @stabiloFFC will have any idea what I'm going on about.,Neutral
2971,"                                 I honestly couldn't care less about who wins tonight. I used to be patriotic but after seeing both the UK and Italy, another country I've visited and loved  freely support the implementation of communism in their countries. I'm no longer patriotic and couldn't give a shit.",Negative
2972,"                                                                                                                                                                                                              @WayOfAce If olmo did score early or that cunt Oyarzabal , Italy would look worst than them look now",Negative
2973,                                                                                                                                                                                                                                                                                Harry Kane. PULL YOURSELF TOGETHER,Negative
2974,                                                                                                                                                                                       Rock you like a Luke Shaw - sounds way less catchy than Rock you like a Harry Kane. But no complaints from me #GoEngland 🇬🇬,Positive
2975,                                                                                                                                                                                                                                                                                        Immobile be foolish player,Negative
2976,                                                                                                                                                                                                                                                                                    @UTDTrey This mount stinker 🤣🤣,Negative
2977,                     Pengland 🏴󠁧󠁢󠁥󠁮󠁧󠁿  road to micky mouse final:  -Retirement home Croatia 🇭🇷  -Scottish Pub fighters 🏴󠁧󠁢󠁳󠁣󠁴󠁿  -Patrik « no help » Schick 🇨🇿  -Lucky win against Germany 🇩🇪  -Ukraine farmers 🇺🇦  -Robbed Denmark 🇩🇰  England is  still in the group stage and this run doesn't count in my book❌,Negative
2978,                                                                                                                                                                                                                                              Harry Kane getting handled and ref seeing through his BS? I love it.,Positive
2979,"                                                                                                                                                                                                                       Soccer is a lot like lesbian period films: not a lot of scoring, tons of emotion. #EURO2020",Neutral
2980,                                                                                                                                                                                                                Instead of booing the Italians stsrt shouting for England you lot lucky enough to be there #ENGITA,Neutral
2981,                                                                                                                                                                                                                                                                                                  Hook Mount at HT,Negative
2982,                                                                                                                                                                                                                                                             No why iz england winning this wasn’t meant to happen,Neutral
2983,"                                                                                                                                                                                         fuck you male football fans, literally any other group of people does this, the feds would beat us all into the afterlife",Negative
2984,                                                                                                                                                                                                                                                 @Lexie_Mariex 1-0 England and now this.  today is the day of dubs,Positive
2985,"                                                                                                                                                                                             @ZeroCool138 Ummm , England ? I'm watching in the Spanish channel for the 1st time in a while. Had to pick my poison.",Neutral
2986,                                                                                                                                                                                                                 italy have been the best team in the tournament until they go and play england what is their luck,Neutral
2987,                                                                                                                                                                                                                                      Surely Sterling knows the Olympics Diving team has already been selected 🤣🤣🤣,Negative
2988,"                                                                                                                                                                                                                                                             @England Dw, it's coming home https://t.co/yEX1pjWz97",Positive
2989,                                                                                                                                                                                                                                                                               Get up you ponce Sterling #EURO2020,Negative
2990,                                                                                                                                                                                                                                                        Sterling it’s easier to score if you stay on your feet pal,Negative
2991,                                                                                                                                                                                                                                                                                      Sterling said MOVE FROM ME😭😂,Negative
2992,                                                                                                                                                                                   Wonder if Italy realizes that England are happy to just sit back on a 1-0 lead and keep Italy out of the box. #ITAENG #EURO2020,Neutral
2993,                                                                                                                                                                                                                                                                 I feel for something nice.   Like England winning,Positive
2994,"                                                                                                                                                                                                                                                                             Ahh the England fans, a lovely bunch!",Positive
2995,                                                                                                  @_aarava I’m not Shaw I’ll be able to. He’s gonna worth some serious Sterling after this I’m not gonna lie. As long as none of the Italians Trippier up in the box trying to win penalties I think we’ll be fine,Neutral
2996,                                                                                                                                                                                                                                                                                    What a block! Stones na baller,Positive
2997,                                                                                                                                                                                                                                                                     This England squad is full of stupid haircuts,Negative
2998,                                                                                                                                                                                                                                                           Mount whenever he gets the ball https://t.co/O02p5bu6zr,Neutral
2999,                                                                                                                                                                                                                Seems like Italy is warming up now and getting into the game more #ENGITA #Euro2020Final #EURO2020,Neutral
3000,"                                                                                                                        #EURO2020   ⏱️ 45'+1 - #Immobile's first-time attempt is blocked by Stones, while Pickford then comfortably collects #Verratti's follow-up...   #ITAENG 0️⃣-1⃣  #ITA #Azzurri #VivoAzzurro",Neutral
3001,                                                                                                                                                                                                                                                                                  Sterling said don't touch meeeee,Negative
3002,"                                                                                                                                                                                                        England had no responsibility to make the rest of this game entertaining. I would love it, but a W is a W.",Neutral
3003,                                                                                                                                                                                                                                                                          Fuck halftime. Just keep playing #itaeng,Negative
3004,                                                                                                                                                             My dad nd i were talking abt who is going to win nd it got a lil heated so now my macbook pro is at stake if italy doesnot win . 😭🤷🏻‍♀️😭😭😭😭😭😭🤠🤠😭😭🤠😭🤠🤠,Neutral
3005,                                                                                                                                                                                                                                   pls g0d don’t let fucking england win i cant have that happen bruh i just can’t,Negative
3006,                                                                                                                                                                              The only way I’m accepting England winning this Finals is if Saka comes off the bench scores/assist other than that  ENGLAND NOTHING,Negative
3007,                                                                                                                                                                                                                                                                         italy better give me good shit after this,Negative
3008,                                                                                                                                                                                                                                                                          Can’t cap Italy have been underwhelming.,Negative
3009,                                                                                                                                                                                                                                                       Wanna say Shaw got lucky but he’s a decent player.  #ITAENG,Neutral
3010,                                                                                                                                                                                            @WiddasTy any thoughts of what's gonna happen in the 2nd half? I think England is gonna get a goal at the start again.,Neutral
3011,"                                                                                                                           After an exciting start that was, for the neutral, pish. I hoped for a better reaction from Italy but England have them in their pocket. Still, it’s a game of two halves and all that.",Neutral
3012,                                                                                                                                                                                                                                                                                    immobile living up to his name,Neutral
3013,                                                                                                                                                                                                                                     @footballitalia Not like Italy would’ve parked if they scored first. Garbage.,Negative
3014,"                                                                                                                                                                                                          @arielhelwani don’t cheer them on Ariel , this is happening all over their country. They deserve nothing",Negative
3015,"                                                                                                                                                                                                                      Wow. No matter the final score tonight, what a team! 🏴󠁧󠁢󠁥󠁮󠁧󠁿❤️🏴󠁧󠁢󠁥󠁮󠁧󠁿   We love you England.",Positive
3016,                                                                                                                                                                                                                                           The mafia have threatened Italy these man not coming home without a win,Neutral
3017,                                                                                                                                                                                                                                                                            England is the reason for my downfalls,Negative
3018,                                                                                                             Extra ordinary first half from the #ENG side &amp; no real gameplay reactions from #ITA yet but we need a second ⚽ to secure the final along with our front foot defense!! Let's go #ENGITA #EURO2020,Positive
3019,                                                                                                                                                                   @urswitchbitch To me Italy looks like they dont rlly know what to do with Englands new playstyle. But maybe they turn it up in the second half!,Neutral
3021,"                                                                                                                                                                                                                                              Alright, hoping Italy comes back from halftime with renewed strength",Neutral
3022,                                                                                                                                                                                                                                                           STOP BOOING THE ITALIAN TEAM!!!!! 😡 #ITA #ENG #EURO2020,Negative
3024,                                                                                                                                                                                                                               I wonder how many people missed England’s goal while queuing for drinks in the pub?,Neutral
3025,                                                                                                                                                                                                                                                                                maybe u should sit down then amira,Negative
3026,                                                                                                                                                                                                                                  That Beckham-Cruise fist bump is the best highlight of the game so far #EURO2020,Neutral
3027,                                                                                                                                          @EddieOliech It's actually noticeable that Kane has matured in his game since Mou times and drops back to pick that role and a defensive one sometimes. Top lad that one,Positive
3028,"                                                                                                                                                                                                       @JohnCassidy Italy, who had more overtime matches than England, is noticeably tired. Shame they‘re not fit.",Neutral
3029,                                                                                                                                                                                                                                    @KingofKens If England win the Euro’s tonight nobody will in England will care,Neutral
3030,"                                                                                                                          @straygoat @EdCallowWrites @CleanNorfolkLtd @charlescommins Yep, agreed. Even Mount has done some good work positionally.   Playing wing backs has proven a brilliant tactical decision.",Positive
3031,                                                                                                                                                                                                                                                                  Massive 45 minutes coming up for England 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Neutral
3032,                                                                                                                                                                                                                                                                                   Every single time he’s started.,Neutral
3033,"                                                                                                                                                                                                                        Come on @England 45ish minutes left you can do this lads, we all believe in you 🦁🦁🦁🏴󠁧󠁢󠁥󠁮󠁧󠁿",Positive
3034,                                                                                                   @timrodad @pseudointellecc @sai_dadddy ppl thinking greenwood would make the squad funnier than rashford and sancho not even being second choice behind saka thru most of the euros lol https://t.co/G7CG8E2733,Neutral
3035,"                                                                                                                                                                                                                                                      To me they are doing very well, they have Mount for creation",Positive
3036,                                                                                                                        Half time and its 0-1 to England 🏴󠁧󠁢󠁥󠁮󠁧󠁿   @England come on lads we have another 45 minutes!!   #UefaEuro2020 #UEFAEuro2020Final #footballscominghome #ITAENG #eng https://t.co/wXOdbuyZtF,Positive
3037,                                                                                                                                                                                                                                                                  @needyremss im from england but support italy 🇮🇹,Neutral
3038,                                                                                                                     Yes yes andrea pirlo cheer for 🏴󠁧󠁢󠁥󠁮󠁧󠁿 🤣💪🏻 #eng  #ENGITA #FinalEuro2020 #Euro2020Final #EURO2020  #Euro2021 #ItsComingHome 💪🏻 @England @EURO2020  #3Lions #ThreeLions https://t.co/4VYusQ8u8K,Positive
3039,                                                                                                                                                                                                                                                                      We know. We’re here for Raheem Sterling too!,Neutral
3040,                                                                                                                                                                                                                          🔴LIVE  ITALY VS ENGLAND ( 0 - 1 ) - EURO 2020 FINAL https://t.co/Ov96RvEy35 via @YouTube,Neutral
3041,                                                                                                                                                                                                                                                            Lets go England 45 minutes from champion you have this,Positive
3043,                                                                                                        Gareth Southgate and this England Team do a Professional Job - its like #MambaMentality but #JobNotDone lets Go Bring this Home Now #ItalyEngland #ENG #ThreeLions #Euro2020Final #EURO2020 #ItsComingHome,Positive
3044,                                                                                                                                                                                                                                                        @005e5n @skldnxo Come on England 🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🍻🍻🍻💀,Positive
3045,                                                                                                                                                                                        England are a absolutely fantastic football team and it’s not their fault that they have the worst fans in the world. #ENG,Positive
3046,                                                                                                                                                                                                                                                            Mount is talented mahn. He is way above Foden and Saka,Positive
3047,                                                                                                                                                                                                                                                                      he laughs like an old rich white man already,Negative
3049,                                                                                                                                                                                                                  can italy score i want this match to be a FIGHT like im not having us win after a goal in 2 mins,Neutral
3050,                                                                                                                                                                                                                                                                    Kane to get Ballon d’Or shouts of England win.,Neutral
3051,                                                                                                                                                                                                                                                                    Sterling needs to be booked for cheating. #ITA,Negative
3052,                                                                                                                                                                                                                                                                                        i will k word you @england,Negative
3053,"                                                                                                                                                                                                                                                        Fuck England and the Euros, the GOAT is the real champion🐐",Negative
3054,                                                                                                                                                                                                                                                                           Here is the chance for #Italy #EURO2020,Neutral
3055,                                                                                                                                                                                                                                                          THERES ITALY FANS DRESSED AS A PIZZA AND MARIO&amp;LUIGI,Neutral
3056,                                                                                                                                                                                                      Sterling needs to stay in their half. He can’t tackle and is gonna end up giving away a dangerous free kick.,Neutral
3057,                                                                                                                                                                                                                  Declan Rice…what the hell has he turned into #beastmode #EnglandvsItaly #Euro2020Final #EURO2020,Positive
3058,                                                                                                                                                                                                                                                 Highlight of this #euro2020final would be 20 secs long. #EURO2020,Neutral
3059,                                                                                                                                                                                                                                                                                              Grealish is peng tho,Positive
3060,                                                                                                                                                                                                                                                                                        dont like the immobile sub,Negative
3062,                                                                                                                                                                                                                                                         They are making england tired on purpose….too relaxed now,Neutral
3063,                                                                                                                                                                                                                            The ref when Sterling is assaulted after his semi final antics https://t.co/nzZek6MRTT,Neutral
3064,                                                                                                                                                                                                                                            Damn bro we really letting England win? Bruh let's go Italy u got this,Neutral
3065,                                                                                                                                                                                                                                                   #EurosInHindi Sterling is a strong contender for best actor. 😝😝,Negative
3066,                                                                                                                                                                          This crowd at Firkin Pub on Front Street is getting very excited as England is up 1-0 over Italy in the euro cup https://t.co/3dd5Ka0jFP,Neutral
3067,                                                                                                                                                                                   Stealing @_shanimaia tweets bc she's private so I can't RT  Italy’s half time talk was really “injure Sterling so he has to go”,Neutral
3068,                                                                                                                                                                                                                                                                                    @AG_inyourface ITALY ITS ITALY,Neutral
3069,                                                                                                                                              England fans force way into Wembley without tickets for Euro 2020 final ⁦@UEFAcom⁩ you can’t say you didn’t know what England fans are like  https://t.co/DplZ3c4pS2,Neutral
3070,                                                                                                                                                                                                               I feel like Italy is about to score and I'm so nervous.  Calm down stomach! https://t.co/XOjMbBkXYi,Neutral
3071,                                                                                                                                                                                                            Right now you can Post ur nudes and no body will notice....coz everyone is busy with England vs Italy.,Neutral
3072,                                                                                @arseblog It's insane to me that he is not playing in this game as of yet. As crazy that @AdamaTrd37 didn't play for Spain. #EURO2020 #ThreeLions #ENG #ITA  #ItaliaInghilterra #InghilterraItalia #ITAENG #ENGITA #EnglandvsItaly,Neutral
3073,"                                                            I get some people are annoyed at the England fans booing but 1. It happens all the time to everyone and 2. It would happen to England too if there was more of the other teams fans it’s just cause it’s 54,000 to 6,000 I get it’s annoying but still",Neutral
3074,                                                                                                                                                                                                                                                                               another england goal would be great,Positive
3075,                                                                                                                                                                                                                                                                      Jesus didnt die for England to win the euros,Negative
3076,                                                                                                                                                                                                                                                                         This match is giving me stress!   #ITAENG,Neutral
3077,                                                                                                                                                                                                                                                                        @GhaffarDawnNews Sir England all the way!!,Positive
3078,                                                                                                                                                                                                                                                          If Italy win I will do my summer hw before the last week,Neutral
3080,                                                                                                                                                                                                              I don’t follow nearly enough soccer fans. Where are you all and why aren’t you on my feed? #Euro2020,Neutral
3082,                                                                                                                                                                                                                                                                                         What a save Pickford #ENG,Positive
3083,                                                                                                                                                                                                                                                                 I'm sorry what the fuck is wrong with italy today,Negative
3084,                                                                                                                                                                                                                      i actually hv no interest im footy at all i just hv fomo so therefore all the england tweets,Negative
3085,                                                                                                                                                                                                                                                                                      Or did Italy get that? 🧍🏽‍♀️,Neutral
3086,                                                                                                                                                                                                                                           Can’t believe I’m saying this but Henderson’s gotta come on for England,Negative
3087,                                                                                                                                                                                                                                                          That Alan Smith commentary after the Chiesa shot #ENGITA,Neutral
3088,                                                                                                                                                                                                                          @tonymc39 Am I alone in thinking Italy have been awful? All too comfortable for England.,Negative
3089,"                                                                                                                                                                        I'm sure if @bglendenning had to pick the way in which England win, it would be 88 minutes of torture for @maxrushden. Only 27 more to go.",Negative
3090,"                                                                                                                                                                                                                                                                 Grealish, sancho, saka or rashford should come on",Neutral
3091,                                                                                                                                                                                                                                                               I love England’s goalie always pushing forward 👏👏👍🏻,Positive
3092,                                                                                                                                                                             It looks like Mario’s making her feel like a pepperphoni!  #England #EURO2020   #Euro2020Final #italy #3Lions https://t.co/K970ItA7Vo,Neutral
3093,                                                                                                                                                                                                        It’s that famous 65mins they kept going on about.   Now do we make changes ?  #eng #EnglandvsItaly #ENGITA,Neutral
3094,"                                                                                                                                                                                                        @TheRealHoarse Amongst other meanings, many people believe England invented soccer, hence it’s coming home",Neutral
3095,                                                                                                       This will be such special moment this is for @England after 55 years! It looks like it’s finally coming home! COME ON ENGLAND!!!!  🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿 #ItalianJob #ItalyEngland #EURO2020 #Euro2020Final,Positive
3096,"                                                                                                                                                   since when did y’all become football fans ………… i feel like i didn’t use to follow so many football fans, but my entire timeline is the england - italia game ,,",Negative
3097,                                                                                                                                          #BREAKING England fans clash with each other inside Wembley stadium during the Euro's final.  #wembleystadium #ENG #ITA #Euro2020Final #EURO2020 https://t.co/vPmgyXocd9,Neutral
3098,                                                                                                                                                                                                                                                                                            ITALY SCORED FUCK YEAH,Positive
3099,                                                                                                                                                                                                                                                                               Maguire allowed the devil use him 💀,Negative
3100,                                                                                                                                                                                                                                                                                          Italy must put one in !!,Positive
3101,                                                                                                                                                                                                                                                                                Football is coming to Rome #ITAENG,Positive
