id,data,label
2899,"                                                                        @BleacherReport @brfootball @TUDNUSA If Italy wins, it was a rigged tournament. Every game except against the weakest opponent, England got no home games in the knockouts.  If England wins it COUNTS. They’re the ones at a disadvantage",Neutral
2900,                                                                                                                                                                                                                                                                         really need a pickford or maguire blunder,Negative
2901,                                                                                                                                                                                                                                                                                    MY FUCKIN LEFT BACK!!! #ENGITA,Positive
2902,                                                                                                                                                               @NickBrightDJ Omfg I can’t believe that start!!!! We’ve gotta be more smart not giving away set pieces around the area thou!! Cone ON ENGLAND!!!!!!,Positive
2903,                                                                                                                                                                                                                                                                                      England winning this #ITAENG,Positive
2904,                                                                                                                                                                                                                                                                                       italy are playing rough wtf,Negative
2905,                                                                                                 tbh i kinda want england to lose just so i can see the utter disappointment on everyone's faces at school  everyone's all upset and complaining while i'm just immune because i couldn't care less about football,Neutral
2906,                                                                                                                                                                                                                                                                       im rooting for england 🤷🏾‍♀️ #Euro2020Final,Positive
2907,                                                                                                                                                                                                                                                                                free sterling from chiellinis arms,Neutral
2908,                                                                                                                                                                                                                                                     If England wins i'll become the Joker https://t.co/gtGcTs0OfS,Neutral
2909,                                                                                                                                                                                                                                                 rooting for england because tomorrow's monday and i need to sleep,Neutral
2910,"                                                                                                                                                           the thing ALL europe knows is that england doesn’t deserve the cup, it’s not even because of italy being there right now. it’s undeserved and that’s it",Negative
2911,"                                                                                                                                        England has been giving it their all since the first minute which scares me because I don’t want their energy to go down later on, and for Italy to take that opportunity.",Neutral
2912,                                                                                                                                                                                                                                                                   Everyone is team England…team Italy fo) wo hen?,Neutral
2915,                                                                                                                                                                                                       If Italy want any chance at all to win this game they need to stop England’s wingbacks from running on them,Neutral
2916,                                                                                                                                                                                                                                                                 Frello struggling against my man Mount. Love it 😤,Positive
2917,                                                                                                                                                                                                                                         torn.. Italy is my sweepsteak team #Euro2020Final https://t.co/vERGpwU4oo,Neutral
2918,"                                                                                                                                                                                                                                                              Can someone tell Italy, this is a final for God sake",Negative
2919,                                                                                                                                                                                                              why is everyone talking about england v italy when it isn’t on until tuesday https://t.co/IRYRu7bgKU,Neutral
2920,                                                                                                                                                                                                                                                            @german29470 Same here...i really hope Italy will win!,Positive
2921,                                                                                                                                                                                                                                             @Edit_Kev Immobile not getting much change atm. Long may it continue!,Positive
2922,                                                                                                                                                                                                                                                                           #ENGITA   Luke Shaw 1 - Jose Mourinho 0,Neutral
2923,"                                                                         @HinacchiT It will be a noticeable difference if Italy doesn't win – their fans won't do another multiple hours long motorcade constantly honking. It was really loud and annoying in my area recently, so I actually care a little bit 😆",Neutral
2924,"                                                                                                                                                                                                                                              England, TTUN, and Liverpool fans go on a daily basis of who’s worse",Negative
2925,                                                                                                                                                                                                                                                                          england will win 🏴󠁧󠁢󠁥󠁮󠁧󠁿💂🏻‍♂️#prediction,Positive
2926,                                                                                                                                                                                                                                         if italy wins im gonna eat pasta everyday for the rest of my life COME ON,Positive
2927,                                                                                                                                                                                                                                                     This Is The Main Reason I Said England Will Win ! Thank You 👍,Positive
2928,"                                                                                                                                           Kane is the best striker in the world without a doubt. Every time I watch him play, I am more convinced that no other striker has the abilities that he possesses. #ENG",Positive
2929,                                                                                                                                                                                                                                                                                 @technerd_brads Come on Italy  🇮🇹,Positive
2930,                                                                                                                                                                                                                                                                            Just enjoy the Shaw. #EURO2020 #ENGITA,Positive
2931,                                                                                                                                                                                                                                                                        It's coming home  FING-SQUIRT für England!,Positive
2932,                                                                                                                                                                                                                                                                                     The Shaw must go on ! #ENGITA,Neutral
2933,                                                                                                                                                                                                                                                                           if england lose i won’t be sexy anymore,Neutral
2934,                                                                                                                                                                                                                                                                        Oh man that doesn’t look good for Jorginho,Neutral
2935,                                                                                                                                                                                                                                                                                please italy besties can you score,Neutral
2936,                                                                                                                                                                                                                                                                   @nobody_stop_me Lol you would route for England,Neutral
2937,                                                                                                                                                                                   Fuck me Tom cruise gets about. First Wimbledon men's final and now euro's final! Is the church on a fund raising drive? #ITAENG,Negative
2938,                                                                                                                                                                                                                                                          @KopBlock205 Seems he’s also a keen England fan as well!,Positive
2939,                                                                                                                                                                                  Prince George was all of us when England scored that goal in 2 minutes! 🏴󠁧󠁢󠁥󠁮󠁧󠁿🦁  #ENGITA #Euro2020Final https://t.co/jKbmED9DfK,Neutral
2940,"                                                                                                                                                           That sterling is a greedy 🐖, if just releases it to team mate they could create really good chances.. He tries to run through them all. 🙄 #England #ENG",Negative
2941,                                                                                                                                                         Imagine 2 years ago or any amount of years in my lifetime if anyone would have claimed England would have been in the final of any tournament anywhere. 😂,Negative
2942,                                                                                                                                                                                               If England win there’s going to be almost as much carnage on the streets of London as if they lose.  #euro2020final,Neutral
2943,                                                                                                                                                                                                               Were Jorginho and David Palmer separated at birth. Before the better player dyed his hair of course,Neutral
2944,                                                                                                                                                                                                                                                                                           Immobile sucking ass rn,Negative
2945,                                                                                                                                                                                                               tom cruise getting inspo for the next mission impossible... england actually doing well at football,Neutral
2946,"                                                                                                                                                                                                                            If England win, I’ll be happy for Harry Kane and no one else. #Euro2020Final #EURO2020",Negative
2947,                                                                                                                                                                                                                                                                          COME ON ENGLAND!!! 🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿,Positive
2948,                                                                                                                                                                                                                                                             the england manager is hotter so i might support them,Positive
2949,                                                                                                                                                                                                                                                                              @JoySportsGH 1goal England 1 Italy 0,Neutral
2950,                                                                                                                                                                                                                                  But PLEASE can shitty English fans stop booing every time Italy gets possession?,Negative
2951,                                                                                                                                                                                                                                                                           football doesn’t revolve around louis ?,Neutral
2952,                                                                                                                                                                                                                           @whydontwemusic I missed the england goal for this and honestly  it was kinda worth it😭,Neutral
2953,                                                                                                                                                                                                                                                                      @Curious11100195 Italy with A bit of luck 😂😂,Positive
2956,                                                                                                                                                                                                                                                       why are people booing when Italy gets the ball jesus christ,Negative
2960,                                                                                                                                                                                                                                                                       COME ON ENGLAND!!!! https://t.co/AWjA45oRIp,Positive
2961,                                                                                                                                                                                                                                                               @Louis_Tomlinson y’all still want england to win? p,Neutral
2963,                                                                                                                                                                                                             Fucking @TomCruise is on our side we cannot lose.🏴󠁧󠁢󠁥󠁮󠁧󠁿❤ C'MON ENGLAND #ItsComingHome #euro2021final,Positive
2964,                                                                                                                                                                                                                                                                                              If Italy don’t win 😾,Negative
2965,                                                                                                                                                                                                    People crying because the match is being held in England where it was decided in 2012. https://t.co/TzPWElkstx,Neutral
2966,                                                                                                                                                                                                                                                                             update me pls is Italy scores or sumn,Neutral
2967,                                                                                                                                                                                                                                      Those Southgate coats are going to be sold out tomorrow aren’t they? #ENGITA,Neutral
2968,                                                                                                                                                                                                                                                           Still can’t believe England scored first 🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿,Positive
